id,filename,ethnicity,age_group,gender
1,img001.png,Black Caribbean,18-20,female
2,img002.png,Black Caribbean,18-20,male
3,img003.png,Black Caribbean,18-20,male
4,img004.png,Black Caribbean,18-20,male
5,img005.png,Black Caribbean,18-20,male
6,img006.png,Black Caribbean,18-20,male
7,img007.png,Black Caribbean,18-20,female
8,img008.png,Black Caribbean,18-20,male
9,img009.png,Black Caribbean,18-20,male
10,img010.png,Black Caribbean,18-20,male
11,img011.png,Black Caribbean,18-20,male
12,img012.png,Black Caribbean,18-20,female
13,img013.png,Black Caribbean,18-20,female
14,img014.png,Black Caribbean,18-20,female
15,img015.png,Black Caribbean,18-20,male
