id,filename,ethnicity,age_group,gender
1,img001.png,Brazilian,13-17,male
2,img002.png,Brazilian,13-17,male
3,img003.png,Brazilian,13-17,male
4,img004.png,Brazilian,13-17,female
5,img005.png,Brazilian,13-17,male
6,img006.png,Brazilian,13-17,female
7,img007.png,Brazilian,13-17,female
8,img008.png,Brazilian,13-17,male
9,img009.png,Brazilian,13-17,female
10,img010.png,Brazilian,13-17,female
11,img011.png,Brazilian,13-17,male
12,img012.png,Brazilian,13-17,female
13,img013.png,Brazilian,13-17,female
14,img014.png,Brazilian,13-17,female
15,img015.png,Brazilian,13-17,male
16,img016.png,Brazilian,13-17,male
17,img017.png,Brazilian,13-17,female
18,img018.png,Brazilian,13-17,female
19,img019.png,Brazilian,13-17,male
20,img020.png,Brazilian,13-17,female
