id,filename,ethnicity,age_group
1,img001.png,Chinese,18-20
2,img002.png,Chinese,18-20
3,img003.png,Chinese,18-20
4,img004.png,Chinese,18-20
5,img005.png,Chinese,18-20
6,img006.png,Chinese,18-20
7,img007.png,Chinese,18-20
8,img008.png,Chinese,18-20
9,img009.png,Chinese,18-20
10,img010.png,Chinese,18-20
11,img011.png,Chinese,18-20
12,img012.png,Chinese,18-20
13,img013.png,Chinese,18-20
14,img014.png,Chinese,18-20
15,img015.png,Chinese,18-20
16,img016.png,Chinese,18-20
17,img017.png,Chinese,18-20
18,img018.png,Chinese,18-20
19,img019.png,Chinese,18-20
20,img020.png,Chinese,18-20
21,img021.png,Chinese,18-20
22,img022.png,Chinese,18-20
23,img023.png,Chinese,18-20
24,img024.png,Chinese,18-20
25,img025.png,Chinese,18-20
26,img026.png,Chinese,18-20
27,img027.png,Chinese,18-20
28,img028.png,Chinese,18-20
29,img029.png,Chinese,18-20
30,img030.png,Chinese,18-20
31,img031.png,Chinese,18-20
32,img032.png,Chinese,18-20
33,img033.png,Chinese,18-20
34,img034.png,Chinese,18-20
