id,filename,ethnicity,age_group,gender
1,img001.png,East African,21-25,female
2,img002.png,East African,21-25,female
3,img003.png,East African,21-25,male
4,img004.png,East African,21-25,male
5,img005.png,East African,21-25,male
6,img006.png,East African,21-25,male
7,img007.png,East African,21-25,female
8,img008.png,East African,21-25,male
9,img009.png,East African,21-25,male
10,img010.png,East African,21-25,female
11,img011.png,East African,21-25,female
12,img012.png,East African,21-25,male
13,img013.png,East African,21-25,male
14,img014.png,East African,21-25,female
15,img015.png,East African,21-25,female
16,img016.png,East African,21-25,female
17,img017.png,East African,21-25,female
18,img018.png,East African,21-25,female
19,img019.png,East African,21-25,female
20,img020.png,East African,21-25,female
21,img021.png,East African,21-25,male
22,img022.png,East African,21-25,female
