id,filename,ethnicity,age_group,gender
1,img001.png,East African,41plus,female
2,img002.png,East African,41plus,male
3,img003.png,East African,41plus,male
4,img004.png,East African,41plus,female
5,img005.png,East African,41plus,male
6,img006.png,East African,41plus,male
7,img007.png,East African,41plus,male
8,img008.png,East African,41plus,male
9,img009.png,East African,41plus,male
10,img010.png,East African,41plus,male
11,img011.png,East African,41plus,male
12,img012.png,East African,41plus,female
13,img013.png,East African,41plus,male
14,img014.png,East African,41plus,male
15,img015.png,East African,41plus,female
16,img016.png,East African,41plus,female
17,img017.png,East African,41plus,female
18,img018.png,East African,41plus,female
19,img019.png,East African,41plus,male
