id,filename,ethnicity,age_group,gender
1,img001.png,Hawaiian,13-17,female
2,img002.png,Hawaiian,13-17,male
3,img003.png,Hawaiian,13-17,female
4,img004.png,Hawaiian,13-17,female
5,img005.png,Hawaiian,13-17,male
6,img006.png,Hawaiian,13-17,female
7,img007.png,Hawaiian,13-17,female
8,img008.png,Hawaiian,13-17,male
9,img009.png,Hawaiian,13-17,male
10,img010.png,Hawaiian,13-17,male
11,img011.png,Hawaiian,13-17,male
12,img012.png,Hawaiian,13-17,female
13,img013.png,Hawaiian,13-17,male
14,img014.png,Hawaiian,13-17,male
15,img015.png,Hawaiian,13-17,male
16,img016.png,Hawaiian,13-17,male
17,img017.png,Hawaiian,13-17,female
18,img018.png,Hawaiian,13-17,female
19,img019.png,Hawaiian,13-17,female
20,img020.png,Hawaiian,13-17,female
21,img021.png,Hawaiian,13-17,female
22,img022.png,Hawaiian,13-17,male
23,img023.png,Hawaiian,13-17,female
24,img024.png,Hawaiian,13-17,female
25,img025.png,Hawaiian,13-17,male
26,img026.png,Hawaiian,13-17,female
