id,filename,ethnicity,age_group,gender
1,img001.png,Native American,13-17,female
2,img002.png,Native American,13-17,male
3,img003.png,Native American,13-17,female
4,img004.png,Native American,13-17,male
5,img005.png,Native American,13-17,female
6,img006.png,Native American,13-17,male
7,img007.png,Native American,13-17,male
8,img008.png,Native American,13-17,female
9,img009.png,Native American,13-17,female
10,img010.png,Native American,13-17,female
11,img011.png,Native American,13-17,male
12,img012.png,Native American,13-17,female
13,img013.png,Native American,13-17,male
