id,filename,ethnicity,age_group
1,img001.png,Northern European,26-40
2,img002.png,Northern European,26-40
3,img003.png,Northern European,26-40
4,img004.png,Northern European,26-40
5,img005.png,Northern European,26-40
6,img006.png,Northern European,26-40
7,img007.png,Northern European,26-40
8,img008.png,Northern European,26-40
9,img009.png,Northern European,26-40
10,img010.png,Northern European,26-40
11,img011.png,Northern European,26-40
12,img012.png,Northern European,26-40
13,img013.png,Northern European,26-40
14,img014.png,Northern European,26-40
15,img015.png,Northern European,26-40
16,img016.png,Northern European,26-40
17,img017.png,Northern European,26-40
18,img018.png,Northern European,26-40
19,img019.png,Northern European,26-40
20,img020.png,Northern European,26-40
21,img021.png,Northern European,26-40
22,img022.png,Northern European,26-40
23,img023.png,Northern European,26-40
24,img024.png,Northern European,26-40
25,img025.png,Northern European,26-40
26,img026.png,Northern European,26-40
27,img027.png,Northern European,26-40
28,img028.png,Northern European,26-40
29,img029.png,Northern European,26-40
30,img030.png,Northern European,26-40
31,img031.png,Northern European,26-40
32,img032.png,Northern European,26-40
33,img033.png,Northern European,26-40
34,img034.png,Northern European,26-40
35,img035.png,Northern European,26-40
36,img036.png,Northern European,26-40
37,img037.png,Northern European,26-40
