id,filename,ethnicity,age_group,gender
1,img001.png,Northern European,41plus,male
2,img002.png,Northern European,41plus,female
3,img003.png,Northern European,41plus,female
4,img004.png,Northern European,41plus,female
5,img005.png,Northern European,41plus,male
6,img006.png,Northern European,41plus,male
7,img007.png,Northern European,41plus,male
8,img008.png,Northern European,41plus,male
9,img009.png,Northern European,41plus,female
10,img010.png,Northern European,41plus,male
11,img011.png,Northern European,41plus,male
12,img012.png,Northern European,41plus,female
