id,filename,ethnicity,age_group,gender
1,img001.png,South African,21-25,female
2,img002.png,South African,21-25,male
3,img003.png,South African,21-25,male
4,img004.png,South African,21-25,female
5,img005.png,South African,21-25,female
6,img006.png,South African,21-25,female
7,img007.png,South African,21-25,male
8,img008.png,South African,21-25,female
9,img009.png,South African,21-25,female
10,img010.png,South African,21-25,male
11,img011.png,South African,21-25,male
12,img012.png,South African,21-25,male
13,img013.png,South African,21-25,male
14,img014.png,South African,21-25,female
15,img015.png,South African,21-25,male
