id,filename,ethnicity,age_group
1,img001.png,Southern European,18-20
2,img002.png,Southern European,18-20
3,img003.png,Southern European,18-20
4,img004.png,Southern European,18-20
5,img005.png,Southern European,18-20
6,img006.png,Southern European,18-20
7,img007.png,Southern European,18-20
8,img008.png,Southern European,18-20
9,img009.png,Southern European,18-20
10,img010.png,Southern European,18-20
11,img011.png,Southern European,18-20
12,img012.png,Southern European,18-20
13,img013.png,Southern European,18-20
14,img014.png,Southern European,18-20
15,img015.png,Southern European,18-20
16,img016.png,Southern European,18-20
17,img017.png,Southern European,18-20
18,img018.png,Southern European,18-20
19,img019.png,Southern European,18-20
20,img020.png,Southern European,18-20
21,img021.png,Southern European,18-20
22,img022.png,Southern European,18-20
23,img023.png,Southern European,18-20
24,img024.png,Southern European,18-20
25,img025.png,Southern European,18-20
