id,filename,ethnicity,age_group,gender
1,img001.png,Southern European,21-25,male
2,img002.png,Southern European,21-25,female
3,img003.png,Southern European,21-25,female
4,img004.png,Southern European,21-25,female
5,img005.png,Southern European,21-25,female
6,img006.png,Southern European,21-25,female
7,img007.png,Southern European,21-25,male
8,img008.png,Southern European,21-25,female
9,img009.png,Southern European,21-25,female
10,img010.png,Southern European,21-25,female
11,img011.png,Southern European,21-25,male
12,img012.png,Southern European,21-25,male
13,img013.png,Southern European,21-25,male
14,img014.png,Southern European,21-25,male
15,img015.png,Southern European,21-25,female
16,img016.png,Southern European,21-25,male
