id,filename,ethnicity,age_group,gender
1,img001.png,West African,13-17,female
2,img002.png,West African,13-17,female
3,img003.png,West African,13-17,female
4,img004.png,West African,13-17,female
5,img005.png,West African,13-17,female
6,img006.png,West African,13-17,male
7,img007.png,West African,13-17,male
8,img008.png,West African,13-17,male
9,img009.png,West African,13-17,male
10,img010.png,West African,13-17,female
11,img011.png,West African,13-17,male
12,img012.png,West African,13-17,female
13,img013.png,West African,13-17,male
14,img014.png,West African,13-17,female
15,img015.png,West African,13-17,male
16,img016.png,West African,13-17,female
17,img017.png,West African,13-17,female
18,img018.png,West African,13-17,female
