id,filename,ethnicity,age_group,gender
1,img001.png,West African,41plus,Unknown
2,img002.png,West African,41plus,Unknown
3,img003.png,West African,41plus,Unknown
4,img004.png,West African,41plus,Unknown
5,img005.png,West African,41plus,Unknown
6,img006.png,West African,41plus,Unknown
7,img007.png,West African,41plus,Unknown
8,img008.png,West African,41plus,Unknown
9,img009.png,West African,41plus,Unknown
10,img010.png,West African,41plus,Unknown
11,img011.png,West African,41plus,Unknown
12,img012.png,West African,41plus,Unknown
13,img013.png,West African,41plus,Unknown
14,img014.png,West African,41plus,Unknown
15,img015.png,West African,41plus,Unknown
16,img016.png,West African,41plus,Unknown
